time, thrust
0.01, 15000
0.02, 30000
0.05, 40000
0.1, 50000
0.2, 60000
0.4, 70000
0.7, 80000
1.0, 91989
2.0, 91989
5.0, 91989
10.0, 91989
20.0, 91989
30.0, 91989
40.0, 91989
50.0, 91989
60.0, 70000
70.0, 70000
75.0, 0
